"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Il1b",-1.70715715825305,11.4844547234634,-8.55888972006906,1.23947179334442e-06,0.0031336534362265,5.71626232371173
"Ttr",-4.59053872830613,7.02408995283569,-8.348769556652,1.6261823747932e-06,0.0031336534362265,3.77939956640011
"Rgs1",-3.85650147253076,7.17202238379214,-7.09629362934875,9.13048273593702e-06,0.00899190096139545,3.2682639649981
"Bcl2a1d",-1.92967556892353,8.0865202182062,-7.08125783241847,9.3325386210643e-06,0.00899190096139545,3.6865864335263
"Fosb",-1.17737606196147,9.7252474249539,-5.89534523408686,5.76818578769327e-05,0.0444611760515397,2.1393558306489
"Iqgap1",-1.15842419282125,8.27204666764948,-5.50204038734597,0.000110147230538288,0.0637432792514286,1.51690229529208
"Stap1",-1.54110427546543,7.78188584736159,-5.47227012661811,0.000115776584006227,0.0637432792514286,1.45368715335568
"Ccl4",-0.822060565814525,12.4315985931439,-5.30012253088888,0.000154827113158271,0.065801952744504,1.18204990790225
"H2-Eb1",-3.15972612774917,10.9545948756964,-5.2316975472715,0.000173986170487742,0.065801952744504,1.09568825180795
"Rab20",-1.0835610815445,7.72626799365267,-5.18852750044913,0.000187337906753827,0.065801952744504,1.02002528782169
"Nr4a3",-1.75781389237919,5.97561237631014,-5.18705922607097,0.000187810451528164,0.065801952744504,0.750794190515981
"Bcl2a1b",-1.06072693186774,10.1209224111262,-5.08499297595743,0.000223917956144785,0.0702168437331976,0.862628312053017
"Cd14",-0.795653977958513,11.9629279915896,-5.02427556034708,0.000248777763487078,0.0702168437331976,0.730973684359185
"H2-Ab1",-2.81995612010125,10.9656536032356,-5.00991453064996,0.000255068970489042,0.0702168437331976,0.728729249275789
"Pmepa1",-1.26878510997403,8.41961389346297,-4.85529522528327,0.00033434268642765,0.0755606564765789,0.497910507243839
"H2-Aa",-2.68285326673318,11.1005564754272,-4.84885921896479,0.000338153605848979,0.0755606564765789,0.455198851736836
"Nlrp3",-1.40358186570067,8.25534539151397,-4.84128764376301,0.000342694959365525,0.0755606564765789,0.475025883306569
"Cxcl10",-2.06099131112129,7.94526915776089,-4.76825052139994,0.000389907970951518,0.0755606564765789,0.354653062115017
"Tspan4",1.51588873332171,6.2484599443139,4.76587314136691,0.000391554088984797,0.0755606564765789,0.208488405187961
"Cxcl16",-1.05422846496507,8.42680216921541,-4.74015510534126,0.000409831022795797,0.0755606564765789,0.309026439090036
"St3gal6",-1.13440243658597,7.42694188792804,-4.7375636794198,0.000411721272965272,0.0755606564765789,0.300246058558613
"Cd72",-3.24462925847634,6.07370235122822,-4.62818107734281,0.000500376883515737,0.0845072758885875,-0.363652517914247
"Cd74",-2.35277021106678,12.5597028883255,-4.62379089655239,0.000504324687451353,0.0845072758885875,0.0305628044778281
"Tpm4",-1.34895001748833,6.31798497102779,-4.52573803129936,0.000601462804094601,0.0965849019575247,-0.0923191827790122
"Lilra5",-1.24206863625504,6.64381695021479,-4.42730302367717,0.000718649016997695,0.106641034446755,-0.22234849229018
"Herpud1",-0.837387164711125,8.44442838133973,-4.42670760578483,0.000719425764300893,0.106641034446755,-0.214999400980653
"Nfe2l2",-0.927114552417142,8.97149677778511,-4.38785343237952,0.000772039688166805,0.11020151697018,-0.290560561679156
"Fosl2",-0.902764279427553,7.92511552760824,-4.36264660786162,0.000808289853968383,0.110517379256781,-0.31600053834071
"Slc6a6",0.98998516285887,7.51641321019497,4.34704524182114,0.000831604566280919,0.110517379256781,-0.337922948902569
"Glipr1",-2.47661665903874,5.63404425216366,-4.25897477297712,0.000976913510553299,0.125500822322414,-0.884069504224262
"Jdp2",-2.20645128477681,6.99144358517261,-4.22839070392363,0.0010333114130443,0.128463941479765,-0.538207384570128
"Ccr5",-1.51597122913627,6.21971636321258,-4.15467090308818,0.00118348999887842,0.139054417604505,-0.685675800894942
"Plekho2",-0.904374937502159,7.70886320494932,-4.1513977335899,0.00119065796080661,0.139054417604505,-0.67008445431222
"Ptgds",2.89911299161078,7.65589559792786,4.1036578425234,0.00130043981934262,0.145215556115348,-0.741952865417844
"Cd83",-0.746596929036353,10.8981093143082,-4.09609245613764,0.00131877126726445,0.145215556115348,-0.853743164460192
